tau,deg,rep,n_test,LAP,W,eta,seconds
1,1,6,2000,0.002209020216454388,0.12668136809658945,0.017437609410486467,20.92
1,1,8,2000,0.0024763692217250055,0.1282133562495826,0.019314440352879127,20.85
1,1,9,2000,0.0022254133489535005,0.12681650368808958,0.017548294458795334,21.08
1,1,10,2000,0.0023896201759898983,0.12686022540659656,0.01883663826334051,20.95
1,1,11,2000,0.002343902332490738,0.12756737972834056,0.018373837712134283,21.6
1,1,12,2000,0.0022409041512273242,0.12550087760542714,0.01785568510741967,20.86
1,1,13,2000,0.002206195300410954,0.12551672595394905,0.01757690286807184,20.9
1,1,14,2000,0.002376807104566281,0.12815143418679634,0.018546863089349393,20.92
1,1,15,2000,0.0023546444334470867,0.12706185676997384,0.018531481384770038,20.83
1,1,16,2000,0.0024169315796941926,0.12924534358211298,0.018700337766200854,20.61
1,1,17,2000,0.0023176142465040905,0.12645195061523085,0.018328022899038926,20.87
1,1,19,2000,0.002421848518042613,0.1284637843094395,0.018852383425113344,20.35
1,1,18,2000,0.0022850994282572062,0.12598785026838233,0.01813745867866967,20.94
1,1,20,2000,0.002469382729330491,0.12741799526233769,0.0193801725121035,38.0
1,1,23,2000,0.002426253631013453,0.1266646633321132,0.019154936879687157,38.06
1,1,22,2000,0.0022794365228070435,0.12750789948037275,0.017876825922914025,38.09
1,1,21,2000,0.002556612756944965,0.1279810716883037,0.01997649123591935,38.44
1,1,24,2000,0.002245239643443378,0.1262279164476802,0.017787187704821225,18.95
1,1,26,2000,0.0023355595513841476,0.12624221736106403,0.018500622059768157,18.94
1,1,27,2000,0.002404324859833093,0.12712719783592227,0.018912749598526145,19.06
1,1,25,2000,0.0024045623830163676,0.12597519101701982,0.01908758671928904,19.64
1,1,28,2000,0.0023905936742863315,0.12723754389132044,0.01878842990185546,19.23
1,1,29,2000,0.0021756009361377504,0.1277377907213106,0.017031772068802447,19.42
1,1,31,2000,0.0023740795917217977,0.12656441503362448,0.018757875909204604,19.46
1,1,30,2000,0.002231965144789294,0.12712986450566277,0.017556576131565648,19.82
1,1,32,2000,0.0025793043507087443,0.12926201028962905,0.01995407888929983,18.91
1,1,35,2000,0.002185237939985679,0.12499955761866083,0.017481965389447515,18.86
1,1,34,2000,0.002162646765341489,0.12661457384998054,0.017080551626733775,18.88
1,1,33,2000,0.002197550328823669,0.12673719600011543,0.01733942676798426,18.89
1,1,36,2000,0.0023013427403877212,0.12579702839603032,0.018294094619967533,19.01
1,1,38,2000,0.0021036817848227446,0.12612239217745286,0.016679685094006833,18.4
1,1,37,2000,0.0022645651485197066,0.12619558737589415,0.01794488377612071,18.47
1,1,39,2000,0.0023551936768405057,0.12767130837793997,0.01844732153812136,18.53
1,1,40,2000,0.0021916418482074568,0.1264566205221568,0.017331175221652024,18.76
1,1,41,2000,0.002312106434419675,0.12799923515845202,0.018063439453817727,18.64
1,1,43,2000,0.0023480059653461782,0.12799945435710613,0.01834387480118054,18.68
1,1,42,2000,0.002293869597985748,0.12561467063776535,0.018261159993012067,19.2
1,1,44,2000,0.002419918722678077,0.12780243669034108,0.018934840253018174,18.91
1,1,45,2000,0.0022943103921559405,0.12768235123448152,0.017968892098036066,19.27
1,1,46,2000,0.0023374653458047984,0.12718777550337002,0.018378066103867538,19.18
1,1,47,2000,0.002587573752617922,0.12947713464899435,0.019984793142300356,18.86
1,1,48,2000,0.002310606440969948,0.12850372918999894,0.017980851260383308,18.86
1,1,49,2000,0.002342807937103966,0.12684330159960355,0.01847009583919005,18.95
1,4,2,2000,0.002957766023189465,0.123981780086779,0.023856457143293354,18.76
1,4,3,2000,0.0030350619955491764,0.1242762305583002,0.024421902578750765,18.83
1,4,0,2000,0.0030821890029925775,0.1233219212963488,0.024993034252085013,18.84
1,4,1,2000,0.0030049199632051354,0.12453260284706312,0.024129584498409937,18.91
1,4,6,2000,0.002926295627387304,0.12230078487621066,0.023927038819490952,18.7
1,4,7,2000,0.0029672195513899408,0.12344174095014887,0.02403740848558052,18.83
1,4,4,2000,0.002966095263313012,0.1239554764552054,0.0239287149558486,19.0
